Name,ISSN,Journal Impact Factor,eISSN
#METOO AND CYBER ACTIVISM IN CHINA,n/a,n/a,n/a
"(RE)FRAMING WOMEN IN POST-MILLENNIAL AFGHANISTAN, PAKISTAN, AND IRAN",n/a,n/a,n/a
(UN)TRANSLATABILITY OF QUR'ANIC IDIOMATIC PHRASAL VERBS,n/a,n/a,n/a
(WHITE)WASHING OUR SINS AWAY,n/a,n/a,n/a
10TH HARDWOOD CONFERENCE PROCEEDINGS 2022,n/a,n/a,n/a
10TH IEEE/ACM INTERNATIONAL WORKSHOP ON SOFTWARE ENGINEERING FOR SYSTEMS-OF-SYSTEMS AND SOFTWARE ECOSYSTEMS (SESOS 2022),n/a,n/a,n/a
"10TH INTERNATIONAL CONFERENCE ON APERIODIC CRYSTALS, APERIODIC 2022",n/a,n/a,n/a
10TH INTERNATIONAL CONFERENCE ON FRP COMPOSITES IN CIVIL ENGINEERING (CICE 2020/2021),n/a,n/a,n/a
10TH INTERNATIONAL WINTER CONFERENCE ON BRAIN-COMPUTER INTERFACE (BCI2022),n/a,n/a,n/a
11TH INTERNATIONAL CONFERENCE ON CRYSTALLINE SILICON PHOTOVOLTAICS (SILICONPV 2021),n/a,n/a,n/a
"11TH INTERNATIONAL SCIENTIFIC SYMPOSIUM REGION, ENTREPRENEURSHIP, DEVELOPMENT (RED 2022)",n/a,n/a,n/a
12TH INTERNATIONAL CONFERENCE ON SIMULATION AND MODELLING IN THE FOOD AND BIO-INDUSTRY 2022 (FOODSIM'2022),n/a,n/a,n/a
12TH INTERNATIONAL MUNICH CHASSIS SYMPOSIUM 2021 (CHASSIS.TECH PLUS),n/a,n/a,n/a
12TH INTERNATIONAL SCIENTIFIC CONFERENCE BUSINESS AND MANAGEMENT 2022,n/a,n/a,n/a
12TH INTERNATIONAL SYMPOSIUM ON HIGH-TEMPERATURE METALLURGICAL PROCESSING,n/a,n/a,n/a
13TH INTERNATIONAL PHOTONICS AND OPTOELECTRONICS MEETINGS (POEM 2021),n/a,n/a,n/a
14TH INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE IN SECURITY FOR INFORMATION SYSTEMS AND 12TH INTERNATIONAL CONFERENCE ON EUROPEAN TRANSNATIONAL EDUCATIONAL (CISIS 2021 AND ICEUTE 2021),n/a,n/a,n/a
14TH WORKSHOP ON GENERAL PURPOSE PROCESSING USING GPU (GPGPU 2022),n/a,n/a,n/a
15TH INTERNATIONAL CONFERENCE INTERDISCIPLINARITY IN ENGINEERING,n/a,n/a,n/a
15TH INTERNATIONAL CONFERENCE ON COOPERATIVE AND HUMAN ASPECTS OF SOFTWARE ENGINEERING (CHASE 2022),n/a,n/a,n/a
"15TH INTERNATIONAL CONFERENCE ON MUON SPIN ROTATION, RELAXATION AND RESONANCE",n/a,n/a,n/a
15TH SEARCH-BASED SOFTWARE TESTING WORKSHOP (SBST 2022),n/a,n/a,n/a
15TH WCEAM PROCEEDINGS,n/a,n/a,n/a
16TH IEEE INTERNATIONAL CONFERENCE ON SEMANTIC COMPUTING (ICSC 2022),n/a,n/a,n/a
16TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS (SOCO 2021),n/a,n/a,n/a
16TH INTERNATIONAL CONFERENCE: MECHATRONIC SYSTEMS AND MATERIALS (MSM 2021),n/a,n/a,n/a
