Name,Rank,Journal Impact Factor,JIF Quartile,Category Normalized Citation Impact,ISSN,eISSN,Publisher (unified),Eigenfactor,WoS Categories,5 Year Impact Factor,JIF Rank,Publisher (all)
CA-A CANCER JOURNAL FOR CLINICIANS,1,286.13,Q1,46.88068295,0007-9235,1542-4863,Wiley (Unified),0.097,ONCOLOGY,334.259,1/245,WILEY
LANCET,2,202.731,Q1,5.700889978,0140-6736,1474-547X,Elsevier (Unified),0.5661,"MEDICINE, GENERAL & INTERNAL",130.838,1/172,ELSEVIER SCIENCE INC
NEW ENGLAND JOURNAL OF MEDICINE,3,176.079,Q1,7.718058501,0028-4793,1533-4406,,0.7535,"MEDICINE, GENERAL & INTERNAL",125.115,2/172,MASSACHUSETTS MEDICAL SOC
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,4,157.335,Q1,4.164286715,0098-7484,1538-3598,,0.3822,"MEDICINE, GENERAL & INTERNAL",101.13,3/172,AMER MEDICAL ASSOC
NATURE REVIEWS MOLECULAR CELL BIOLOGY,5,113.915,Q1,3.418524398,1471-0072,1471-0080,Springer Nature (Unified),0.0779,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,97.004,1/194,NATURE PORTFOLIO
NATURE REVIEWS DRUG DISCOVERY,6,112.288,Q1,4.46265428,1474-1776,1474-1784,Springer Nature (Unified),0.0491,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;PHARMACOLOGY & PHARMACY,98.74,1/279,NATURE PORTFOLIO
NATURE REVIEWS IMMUNOLOGY,7,108.555,Q1,4.271172129,1474-1733,1474-1741,Springer Nature (Unified),0.0768,IMMUNOLOGY,91.763,1/161,NATURE PORTFOLIO
LANCET RESPIRATORY MEDICINE,8,102.642,Q1,5.357461191,2213-2600,n/a,Elsevier (Unified),0.0713,CRITICAL CARE MEDICINE;RESPIRATORY SYSTEM,63.244,1/65,ELSEVIER SCI LTD
BMJ-BRITISH MEDICAL JOURNAL,9,93.333,Q1,1.677874809,0959-535X,1756-1833,,0.2006,"MEDICINE, GENERAL & INTERNAL",64.449,4/172,BMJ PUBLISHING GROUP
NATURE MEDICINE,10,87.241,Q1,7.791212721,1078-8956,1546-170X,Springer Nature (Unified),0.2326,"BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY;MEDICINE, RESEARCH & EXPERIMENTAL",68.31,1/296,NATURE PORTFOLIO
LANCET MICROBE,11,86.208,Q1,3.447791781,2666-5247,2666-5247,Elsevier (Unified),0.0074,INFECTIOUS DISEASES;MICROBIOLOGY,86.25,1/136,ELSEVIER
WORLD PSYCHIATRY,12,79.683,Q1,4.770993566,1723-8617,2051-5545,Wiley (Unified),0.0198,PSYCHIATRY,66.75,1/155,WILEY
NATURE REVIEWS MICROBIOLOGY,13,78.297,Q1,3.320741786,1740-1526,1740-1534,Springer Nature (Unified),0.0559,MICROBIOLOGY,72.908,2/136,NATURE PORTFOLIO
LANCET PSYCHIATRY,14,77.056,Q1,2.949612118,2215-0374,n/a,Elsevier (Unified),0.0512,PSYCHIATRY,51.106,2/155,ELSEVIER SCI LTD
NATURE REVIEWS MATERIALS,15,76.679,Q1,2.792755039,2058-8437,2058-8437,Springer Nature (Unified),0.0673,"MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",106.196,1/345,NATURE PORTFOLIO
