Name,ISSN,Journal Impact Factor,eISSN
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,254.7,1542-4863
LANCET,0140-6736,168.9,1474-547X
NEW ENGLAND JOURNAL OF MEDICINE,0028-4793,158.5,1533-4406
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,120.7,1538-3598
NATURE REVIEWS DRUG DISCOVERY,1474-1776,120.1,1474-1784
NATURE REVIEWS DRUG DISCOVERY,1474-1776,120.1,1474-1784
NATURE REVIEWS MOLECULAR CELL BIOLOGY,1471-0072,112.7,1471-0080
BMJ-British Medical Journal,0959-535X,105.7,1756-1833
NATURE REVIEWS IMMUNOLOGY,1474-1733,100.3,1474-1741
NATURE REVIEWS MICROBIOLOGY,1740-1526,88.1,1740-1534
Nature Reviews Materials,2058-8437,83.5,2058-8437
Nature Reviews Materials,2058-8437,83.5,2058-8437
NATURE MEDICINE,1078-8956,82.9,1546-170X
NATURE MEDICINE,1078-8956,82.9,1546-170X
NATURE MEDICINE,1078-8956,82.9,1546-170X
Nature Reviews Disease Primers,2056-676X,81.5,2056-676X
Nature Reviews Clinical Oncology,1759-4774,78.8,1759-4782
NATURE REVIEWS CANCER,1474-175X,78.5,1474-1768
Lancet Respiratory Medicine,2213-2600,76.2,N/A
Lancet Respiratory Medicine,2213-2600,76.2,N/A
World Psychiatry,1723-8617,73.3,2051-5545
World Psychiatry,1723-8617,73.3,2051-5545
Nature Reviews Gastroenterology & Hepatology,1759-5045,65.1,1759-5053
NATURE,0028-0836,64.8,1476-4687
CELL,0092-8674,64.5,1097-4172
CELL,0092-8674,64.5,1097-4172
Lancet Psychiatry,2215-0374,64.3,N/A
Lancet Psychiatry,2215-0374,64.3,N/A
CHEMICAL REVIEWS,0009-2665,62.1,1520-6890
SCIENCE,0036-8075,56.9,1095-9203
Nature Energy,2058-7546,56.7,2058-7546
Nature Energy,2058-7546,56.7,2058-7546
LANCET INFECTIOUS DISEASES,1473-3099,56.3,1474-4457
LANCET ONCOLOGY,1470-2045,51.1,1474-5488
ANNALS OF ONCOLOGY,0923-7534,50.5,1569-8041
CANCER CELL,1535-6108,50.3,1878-3686
CANCER CELL,1535-6108,50.3,1878-3686
Lancet Public Health,2468-2667,50,2468-2667
Lancet Public Health,2468-2667,50,2468-2667
Nature Reviews Cardiology,1759-5002,49.6,1759-5010
LANCET NEUROLOGY,1474-4422,48,1474-4465
NATURE METHODS,1548-7091,48,1548-7105
NATURE BIOTECHNOLOGY,1087-0156,46.9,1546-1696
CHEMICAL SOCIETY REVIEWS,0306-0012,46.2,1460-4744
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,45.3,1527-7755
Lancet Diabetes & Endocrinology,2213-8587,44.5,2213-8595
REVIEWS OF MODERN PHYSICS,0034-6861,44.1,1539-0756
CELL RESEARCH,1001-0602,44.1,1748-7838
NATURE REVIEWS GENETICS,1471-0056,42.7,1471-0064
Nature Reviews Earth & Environment,N/A,42.1,2662-138X
Nature Reviews Earth & Environment,N/A,42.1,2662-138X
Nature Reviews Nephrology,1759-5061,41.5,1759-507X
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
NATURE MATERIALS,1476-1122,41.2,1476-4660
Living Reviews in Relativity,2367-3613,40.6,1433-8351
Nature Reviews Endocrinology,1759-5029,40.5,1759-5037
Joule,2542-4351,39.8,2542-4351
Joule,2542-4351,39.8,2542-4351
Joule,2542-4351,39.8,2542-4351
Nature Reviews Methods Primers,N/A,39.5,2662-8449
EUROPEAN HEART JOURNAL,0195-668X,39.3,1522-9645
Signal Transduction and Targeted Therapy,2095-9907,39.3,2059-3635
Signal Transduction and Targeted Therapy,2095-9907,39.3,2059-3635
ANNALS OF INTERNAL MEDICINE,0003-4819,39.2,1539-3704
JAMA Internal Medicine,2168-6106,39,2168-6114
INTENSIVE CARE MEDICINE,0342-4642,38.9,1432-1238
Nature Reviews Physics,N/A,38.5,2522-5820
Nature Reviews Physics,N/A,38.5,2522-5820
Nature Nanotechnology,1748-3387,38.3,1748-3395
Nature Nanotechnology,1748-3387,38.3,1748-3395
Lancet Microbe,N/A,38.2,2666-5247
Lancet Microbe,N/A,38.2,2666-5247
Nature Reviews Neurology,1759-4758,38.1,1759-4766
CIRCULATION,0009-7322,37.8,1524-4539
CIRCULATION,0009-7322,37.8,1524-4539
Nature Catalysis,2520-1158,37.8,2520-1158
PROGRESS IN MATERIALS SCIENCE,0079-6425,37.4,1873-2208
Molecular Cancer,N/A,37.3,1476-4598
Molecular Cancer,N/A,37.3,1476-4598
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,36.8,1098-6618
Foundations and Trends in Computer Graphics and Vision,1572-2740,36.5,1572-2759
Lancet Child & Adolescent Health,2352-4642,36.4,2352-4642
Nature Reviews Chemistry,N/A,36.3,2397-3358
Annual Review of Pathology-Mechanisms of Disease,1553-4006,36.2,1553-4014
Lancet Gastroenterology & Hepatology,N/A,35.7,2468-1253
IEEE Communications Surveys and Tutorials,N/A,35.6,1553-877X
IEEE Communications Surveys and Tutorials,N/A,35.6,1553-877X
Nature Photonics,1749-4885,35,1749-4893
Nature Photonics,1749-4885,35,1749-4893
NATURE REVIEWS NEUROSCIENCE,1471-003X,34.7,1471-0048
Lancet Global Health,2214-109X,34.3,2214-109X
Lancet Global Health,2214-109X,34.3,2214-109X
Nature Electronics,2520-1131,34.3,2520-1131
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,33.9,1545-861X
MMWR Recommendations and Reports,1057-5987,33.7,1545-8601
Nature Reviews Rheumatology,1759-4790,33.7,1759-4804
PHYSIOLOGICAL REVIEWS,0031-9333,33.6,1522-1210
Cell Discovery,N/A,33.5,2056-5968
